class	Precursor_MZ
Prenol lipids	599.394
Prenol lipids	639.386
Prenol lipids	1233.8
Prenol lipids	655.457
Prenol lipids	373.201
Prenol lipids	781.416
Prenol lipids	655.457
Indoles and derivatives	509.293
Indoles and derivatives	457.26
Indoles and derivatives	495.276
Organooxygen compounds	924.493
Benzene and substituted derivatives	235.096
Organooxygen compounds	237.111
Benzene and substituted derivatives	333.094
Benzene and substituted derivatives	355.078
Anthracenes	285.077
Anthracenes	301.072
Benzopyrans	293.101
Benzopyrans	293.102
Coumarins and derivatives	259.06
Coumarins and derivatives	175.055
Coumarins and derivatives	289.071
Coumarins and derivatives	273.078
Indoles and derivatives	525.286
Indoles and derivatives	523.27
Carboxylic acids and derivatives	537.252
Carboxylic acids and derivatives	559.231
Carboxylic acids and derivatives	1073.49
Carboxylic acids and derivatives	1095.47
Indoles and derivatives	521.256
Indoles and derivatives	521.257
Indoles and derivatives	1041.5
Carboxylic acids and derivatives	509.291
Benzene and substituted derivatives	291.122
Indoles and derivatives	162.055
Quinolines and derivatives	384.18
Quinolines and derivatives	406.162
Quinolines and derivatives	468.241
Quinolines and derivatives	466.222
Lactones	307.189
Lactones	391.247
Anthracenes	285.076
Benzene and substituted derivatives	349.09
Carboxylic acids and derivatives	642.33
Naphthopyrans	570.357
Naphthopyrans	480.273
Pyrimidodiazepines	380.141
